grid_id,cnt_112,cnt_cctv,cnt_patrol,env_score
다라230379,0,0,0,1.0
다라230380,0,0,0,1.0
다라236380,0,0,0,1.0
다라237379,0,0,0,1.0
다라237380,0,0,0,1.0
다라238379,0,0,0,1.0
다라238385,0,0,0,1.0
다라239379,0,0,0,1.0
다라239385,0,0,0,1.0
다라240377,0,0,0,1.0
다라240378,0,0,0,1.0
다라240379,0,0,0,1.0
다라240382,0,0,0,1.0
다라241226,0,0,0,1.0
다라241227,0,0,0,1.0
다라241228,0,0,0,1.0
다라241378,0,0,0,1.0
다라241379,0,0,0,1.0
다라241380,0,0,0,1.0
다라242221,0,0,0,1.0
다라242223,0,0,0,1.0
다라242224,0,0,0,1.0
다라242226,0,0,0,1.0
다라242227,0,0,0,1.0
다라242228,0,0,0,1.0
다라242339,0,0,0,1.0
다라242340,0,0,0,1.0
다라242379,0,0,0,1.0
다라242380,0,0,0,1.0
다라242382,0,0,0,1.0
다라243219,0,0,0,1.0
다라243220,0,0,0,1.0
다라243221,0,0,0,1.0
다라243222,0,0,0,1.0
다라243223,0,0,0,1.0
다라243224,0,0,0,1.0
다라243225,0,0,0,1.0
다라243226,0,0,0,1.0
다라243227,0,0,0,1.0
다라243228,0,0,0,1.0
다라243328,0,0,0,1.0
다라243339,0,0,0,1.0
다라243340,0,0,0,1.0
다라243341,0,0,0,1.0
다라243379,0,0,0,1.0
다라243380,0,0,0,1.0
다라244166,0,0,0,1.0
다라244219,0,0,0,1.0
다라244220,0,0,0,1.0
다라244222,0,0,0,1.0
다라244223,0,0,0,1.0
다라244224,0,0,0,1.0
다라244225,0,0,0,1.0
다라244226,0,0,0,1.0
다라244227,0,0,0,1.0
다라244228,0,0,0,1.0
다라244229,0,0,0,1.0
다라244327,0,0,0,1.0
다라244328,0,0,0,1.0
다라244338,0,0,0,1.0
다라244339,0,0,0,1.0
다라244340,0,0,0,1.0
다라244341,0,0,0,1.0
다라244343,0,0,0,1.0
다라244345,0,0,0,1.0
다라244372,0,0,0,1.0
다라244373,0,0,0,1.0
다라244375,0,0,0,1.0
다라244377,0,0,0,1.0
다라244378,0,0,0,1.0
다라244379,0,0,0,1.0
다라244380,0,0,0,1.0
다라244381,0,0,0,1.0
다라244382,0,0,0,1.0
다라244383,0,0,0,1.0
다라245166,0,0,0,1.0
다라245216,0,0,0,1.0
다라245217,0,0,0,1.0
다라245220,0,0,0,1.0
다라245221,0,0,0,1.0
다라245222,0,0,0,1.0
다라245223,0,0,0,1.0
다라245224,0,0,0,1.0
다라245225,0,0,0,1.0
다라245226,0,0,0,1.0
다라245227,0,0,0,1.0
다라245228,0,0,0,1.0
다라245229,0,0,0,1.0
다라245230,0,0,0,1.0
다라245329,0,0,0,1.0
다라245338,0,0,0,1.0
다라245339,0,0,0,1.0
다라245340,0,0,0,1.0
다라245341,0,0,0,1.0
다라245343,0,0,0,1.0
다라245344,0,0,0,1.0
다라245345,0,0,0,1.0
다라245367,0,0,0,1.0
다라245372,0,0,0,1.0
다라245373,0,0,0,1.0
다라245375,0,0,0,1.0
다라245376,0,0,0,1.0
다라245377,0,0,0,1.0
다라245378,0,0,0,1.0
다라245379,0,0,0,1.0
다라245380,0,0,0,1.0
다라245381,0,0,0,1.0
다라245382,0,0,0,1.0
다라245384,0,0,0,1.0
다라245391,0,0,0,1.0
다라246215,0,0,0,1.0
다라246216,0,0,0,1.0
다라246217,0,0,0,1.0
다라246218,0,0,0,1.0
다라246219,0,0,0,1.0
다라246220,0,0,0,1.0
다라246221,0,0,0,1.0
다라246222,0,0,0,1.0
다라246223,0,0,0,1.0
다라246224,1,0,0,1.1831692509136336
다라246225,0,0,0,1.0
다라246226,0,0,0,1.0
다라246227,0,0,0,1.0
다라246228,0,0,0,1.0
다라246229,0,0,0,1.0
다라246230,0,0,0,1.0
다라246231,0,0,0,1.0
다라246329,0,0,0,1.0
다라246339,0,0,0,1.0
다라246340,0,0,0,1.0
다라246341,0,0,0,1.0
다라246342,0,0,0,1.0
다라246343,0,0,0,1.0
다라246344,0,0,0,1.0
다라246345,0,0,0,1.0
다라246346,0,0,0,1.0
다라246347,0,0,0,1.0
다라246348,0,0,0,1.0
다라246349,0,0,0,1.0
다라246376,0,0,0,1.0
다라246377,0,0,0,1.0
다라246378,0,0,0,1.0
다라246379,0,0,0,1.0
다라246380,0,0,0,1.0
다라246381,0,0,0,1.0
다라246382,0,0,0,1.0
다라247218,0,0,0,1.0
다라247219,0,0,0,1.0
다라247220,0,0,0,1.0
다라247221,0,0,0,1.0
다라247222,0,0,0,1.0
다라247223,0,0,0,1.0
다라247224,0,0,0,1.0
다라247225,0,0,0,1.0
다라247226,0,0,0,1.0
다라247227,0,0,0,1.0
다라247228,0,0,0,1.0
다라247229,0,0,0,1.0
다라247230,0,0,0,1.0
다라247231,0,0,0,1.0
다라247328,0,0,0,1.0
다라247329,0,0,0,1.0
다라247330,0,0,0,1.0
다라247337,0,0,0,1.0
다라247338,0,0,0,1.0
다라247339,0,0,0,1.0
다라247340,0,1,0,0.5595351232142713
다라247341,0,0,0,1.0
다라247342,0,0,0,1.0
다라247343,0,0,0,1.0
다라247344,0,0,0,1.0
다라247345,0,0,0,1.0
다라247346,0,0,0,1.0
다라247347,0,0,0,1.0
다라247348,0,0,0,1.0
다라247350,0,0,0,1.0
다라247351,0,0,0,1.0
다라247378,0,0,0,1.0
다라247379,0,0,0,1.0
다라247380,0,0,0,1.0
다라247381,0,0,0,1.0
다라247382,0,0,0,1.0
다라247383,0,0,0,1.0
다라247384,0,0,0,1.0
다라247385,0,0,0,1.0
다라247386,0,0,0,1.0
다라247387,0,0,0,1.0
다라248136,0,0,0,1.0
다라248137,0,0,0,1.0
다라248163,0,0,0,1.0
다라248164,0,0,0,1.0
다라248165,0,0,0,1.0
다라248166,0,0,0,1.0
다라248215,0,0,0,1.0
다라248216,0,0,0,1.0
다라248217,0,0,0,1.0
다라248218,0,0,0,1.0
다라248219,0,0,0,1.0
다라248220,0,0,0,1.0
다라248221,0,0,0,1.0
다라248222,0,0,0,1.0
다라248223,0,0,0,1.0
다라248224,0,0,0,1.0
다라248225,0,0,0,1.0
다라248226,0,0,0,1.0
다라248227,0,0,0,1.0
다라248228,0,0,0,1.0
다라248229,0,0,0,1.0
다라248230,0,5,0,0.1845351232142713
다라248231,0,0,0,1.0
다라248232,0,0,0,1.0
다라248328,0,0,0,1.0
다라248330,0,0,0,1.0
다라248331,0,0,0,1.0
다라248338,0,0,0,1.0
다라248339,0,0,0,1.0
다라248340,0,0,0,1.0
다라248341,0,0,0,1.0
다라248342,0,0,0,1.0
다라248343,0,0,0,1.0
다라248344,0,0,0,1.0
다라248345,0,0,0,1.0
다라248346,0,0,0,1.0
다라248347,0,0,0,1.0
다라248348,0,0,0,1.0
다라248349,0,0,0,1.0
다라248350,0,0,0,1.0
다라248351,0,0,0,1.0
다라248379,0,0,0,1.0
다라248380,0,0,0,1.0
다라248381,0,0,0,1.0
다라248382,0,0,0,1.0
다라248383,0,0,0,1.0
다라248384,0,0,0,1.0
다라248385,0,0,0,1.0
다라248386,0,0,0,1.0
다라248387,0,0,0,1.0
다라248388,0,0,0,1.0
다라248389,0,0,0,1.0
다라248390,0,0,0,1.0
다라248391,0,0,0,1.0
다라248392,0,0,0,1.0
다라248393,0,0,0,1.0
다라248394,0,0,0,1.0
다라249137,0,0,0,1.0
다라249162,0,0,0,1.0
다라249163,0,0,0,1.0
다라249164,0,0,0,1.0
다라249165,0,0,0,1.0
다라249166,0,0,0,1.0
다라249167,0,0,0,1.0
다라249168,0,0,0,1.0
다라249169,0,0,0,1.0
다라249208,0,0,0,1.0
다라249209,0,0,0,1.0
다라249210,0,0,0,1.0
다라249211,0,0,0,1.0
다라249214,0,0,0,1.0
다라249215,0,0,0,1.0
다라249216,0,0,0,1.0
다라249217,0,0,0,1.0
다라249218,0,0,0,1.0
다라249219,0,0,0,1.0
다라249220,0,0,0,1.0
다라249221,0,0,0,1.0
다라249222,0,0,0,1.0
다라249223,0,0,0,1.0
다라249224,0,0,0,1.0
다라249225,0,0,0,1.0
다라249226,0,0,0,1.0
다라249227,0,0,0,1.0
다라249228,0,0,0,1.0
다라249229,0,0,0,1.0
다라249230,0,1,0,0.6845351232142713
다라249231,0,0,0,1.0
다라249232,0,0,0,1.0
다라249331,0,0,0,1.0
다라249332,0,0,0,1.0
다라249333,0,0,0,1.0
다라249334,0,0,0,1.0
다라249338,0,0,0,1.0
다라249339,0,0,0,1.0
다라249340,0,0,0,1.0
다라249341,0,0,0,1.0
다라249342,0,0,0,1.0
다라249343,0,0,0,1.0
다라249344,0,0,0,1.0
다라249345,0,0,0,1.0
다라249346,0,0,0,1.0
다라249347,0,0,0,1.0
다라249348,0,0,0,1.0
다라249371,0,0,0,1.0
다라249379,0,0,0,1.0
다라249380,0,0,0,1.0
다라249381,0,0,0,1.0
다라249382,0,0,0,1.0
다라249383,0,0,0,1.0
다라249384,0,0,0,1.0
다라249385,0,0,0,1.0
다라249387,0,0,0,1.0
다라249388,0,0,0,1.0
다라249389,0,0,0,1.0
다라249390,0,0,0,1.0
다라249391,0,0,0,1.0
다라250087,0,0,0,1.0
다라250088,0,0,0,1.0
다라250089,0,0,0,1.0
다라250090,0,0,0,1.0
다라250091,0,0,0,1.0
다라250092,0,0,0,1.0
다라250093,0,0,0,1.0
다라250094,0,0,0,1.0
다라250095,0,0,0,1.0
다라250096,0,0,0,1.0
다라250097,0,0,0,1.0
다라250098,0,0,0,1.0
다라250099,0,0,0,1.0
다라250100,0,0,0,1.0
다라250102,0,0,0,1.0
다라250103,0,0,0,1.0
다라250104,0,0,0,1.0
다라250105,0,0,0,1.0
다라250106,0,0,0,1.0
다라250107,0,0,0,1.0
다라250108,0,0,0,1.0
다라250109,0,0,0,1.0
다라250110,0,0,0,1.0
다라250136,0,0,0,1.0
다라250137,0,0,0,1.0
다라250163,0,0,0,1.0
다라250164,0,0,0,1.0
다라250165,1,0,0,1.1831692509136336
다라250166,0,0,0,1.0
다라250167,0,0,0,1.0
다라250168,0,0,0,1.0
다라250169,0,0,0,1.0
다라250170,0,0,0,1.0
다라250209,0,0,0,1.0
다라250210,0,0,0,1.0
다라250211,0,0,0,1.0
다라250214,0,0,0,1.0
다라250215,0,0,0,1.0
다라250216,0,0,0,1.0
다라250217,0,0,0,1.0
다라250218,0,0,0,1.0
다라250219,0,0,0,1.0
다라250220,0,0,0,1.0
다라250221,0,0,0,1.0
다라250222,0,0,0,1.0
다라250223,0,0,0,1.0
다라250224,0,0,0,1.0
다라250225,0,0,0,1.0
다라250226,0,0,0,1.0
다라250227,0,0,0,1.0
다라250228,0,0,0,1.0
다라250229,0,0,0,1.0
다라250230,0,0,0,1.0
다라250231,0,0,0,1.0
다라250232,0,0,0,1.0
다라250233,0,0,0,1.0
다라250331,0,0,0,1.0
다라250332,0,0,0,1.0
다라250333,0,0,0,1.0
다라250334,0,0,0,1.0
다라250335,0,0,0,1.0
다라250336,0,0,0,1.0
다라250337,0,0,0,1.0
다라250338,0,0,0,1.0
다라250339,0,0,0,1.0
다라250340,0,0,0,1.0
다라250341,0,0,0,1.0
다라250342,0,0,0,1.0
다라250344,0,0,0,1.0
다라250345,0,0,0,1.0
다라250346,0,0,0,1.0
다라250347,0,0,0,1.0
다라250351,0,0,0,1.0
다라250352,0,0,0,1.0
다라250371,0,0,0,1.0
다라250379,0,0,0,1.0
다라250380,0,0,0,1.0
다라250381,0,0,0,1.0
다라250382,0,0,0,1.0
다라250383,0,0,0,1.0
다라251087,0,0,0,1.0
다라251088,0,0,0,1.0
다라251089,0,0,0,1.0
다라251090,0,0,0,1.0
다라251091,0,0,0,1.0
다라251092,0,0,0,1.0
다라251093,0,0,0,1.0
다라251094,0,0,0,1.0
다라251095,0,0,0,1.0
다라251096,0,0,0,1.0
다라251097,0,0,0,1.0
다라251098,0,0,0,1.0
다라251099,0,0,0,1.0
다라251100,0,0,0,1.0
다라251101,0,0,0,1.0
다라251102,0,0,0,1.0
다라251103,2,0,0,1.2903163939832938
다라251104,0,0,0,1.0
다라251105,0,0,0,1.0
다라251106,0,0,0,1.0
다라251107,0,0,0,1.0
다라251108,0,0,0,1.0
다라251109,0,0,0,1.0
다라251110,0,0,0,1.0
다라251111,0,0,0,1.0
다라251162,0,0,0,1.0
다라251163,0,0,0,1.0
다라251166,0,0,0,1.0
다라251167,0,0,0,1.0
다라251168,0,0,0,1.0
다라251169,0,0,0,1.0
다라251170,0,0,0,1.0
다라251171,0,0,0,1.0
다라251205,0,0,0,1.0
다라251206,0,0,0,1.0
다라251209,0,0,0,1.0
다라251210,0,0,0,1.0
다라251211,0,0,0,1.0
다라251214,0,0,0,1.0
다라251215,0,0,0,1.0
다라251216,0,0,0,1.0
다라251217,0,0,0,1.0
다라251218,0,0,0,1.0
다라251219,0,0,0,1.0
다라251220,0,0,0,1.0
다라251221,0,0,0,1.0
다라251222,0,0,0,1.0
다라251223,0,0,0,1.0
다라251224,0,0,0,1.0
다라251225,0,0,0,1.0
다라251226,0,0,0,1.0
