grid_id,cnt_store,cnt_112,cnt_5crime,cnt_cctv,cnt_patrol,sigungu,x_center,y_center
nan,332,620,509,0,6,,,
가다780670,1,0,0,0,0,신안군,778050.0,1567050.0
가다780672,1,0,0,0,0,신안군,778050.0,1567250.0
가다799684,1,0,0,0,0,신안군,779950.0,1568450.0
가다803651,1,1,0,0,0,신안군,780350.0,1565150.0
가다804652,1,0,0,0,0,신안군,780450.0,1565250.0
가다807646,2,0,0,0,0,신안군,780750.0,1564650.0
가다808646,1,0,0,0,1,신안군,780850.0,1564650.0
가다809646,3,2,0,2,3,신안군,780950.0,1564650.0
가다809647,1,0,0,0,1,신안군,780950.0,1564750.0
가다810646,5,3,0,0,3,신안군,781050.0,1564650.0
가다810647,3,0,0,0,0,신안군,781050.0,1564750.0
가다810648,1,0,0,0,0,신안군,781050.0,1564850.0
가다811645,2,0,1,5,2,신안군,781150.0,1564550.0
가다811646,5,0,0,0,0,신안군,781150.0,1564650.0
가다811647,1,1,0,1,0,신안군,781150.0,1564750.0
가라8834,1,0,0,0,0,신안군,788500.0,1634500.0
가라884344,2,0,0,5,0,신안군,788450.0,1634450.0
가라885344,16,0,0,0,0,신안군,788550.0,1634450.0
가라885345,2,1,0,1,0,신안군,788550.0,1634550.0
가라885346,2,0,0,0,0,신안군,788550.0,1634650.0
가라885347,6,0,0,1,0,신안군,788550.0,1634750.0
가라886346,17,0,0,1,0,신안군,788650.0,1634650.0
가라886347,3,0,0,6,0,신안군,788650.0,1634750.0
가라895371,3,0,0,0,0,신안군,789550.0,1637150.0
가라896370,1,0,0,1,0,신안군,789650.0,1637050.0
가라965069,1,0,0,0,0,신안군,796550.0,1606950.0
가라975018,3,0,0,0,0,신안군,797550.0,1601850.0
가라976018,1,2,0,0,0,신안군,797650.0,1601850.0
가라976021,1,0,0,0,0,신안군,797650.0,1602150.0
가라976022,3,1,0,0,0,신안군,797650.0,1602250.0
가라976023,1,0,0,0,0,신안군,797650.0,1602350.0
나다128813,1,0,0,0,0,신안군,812850.0,1581350.0
나다476821,1,0,0,0,0,진도군,847650.0,1582150.0
나다477821,1,0,0,0,0,진도군,847750.0,1582150.0
나다541856,1,0,0,0,0,진도군,854150.0,1585650.0
나다541857,1,0,0,0,0,진도군,854150.0,1585750.0
나다612871,1,0,0,0,0,진도군,861250.0,1587150.0
나다613871,1,0,0,0,0,진도군,861350.0,1587150.0
나다654903,1,0,0,0,0,진도군,865450.0,1590350.0
나다655834,1,0,0,0,0,진도군,865550.0,1583450.0
나다656834,1,0,0,0,0,,865650.0,1583450.0
나다657903,1,0,0,0,0,진도군,865750.0,1590350.0
나다661913,1,0,0,0,0,진도군,866150.0,1591350.0
나다662903,7,7,0,0,3,진도군,866250.0,1590350.0
나다663902,5,2,0,0,2,진도군,866350.0,1590250.0
나다663903,11,7,1,1,1,진도군,866350.0,1590350.0
나다663904,1,0,0,0,0,진도군,866350.0,1590450.0
나다664836,1,0,0,0,0,진도군,866450.0,1583650.0
나다664837,3,0,1,0,0,진도군,866450.0,1583750.0
나다664902,4,1,0,0,1,진도군,866450.0,1590250.0
나다664903,1,3,0,1,0,진도군,866450.0,1590350.0
나다665836,1,0,0,0,0,진도군,866550.0,1583650.0
나다665837,2,2,0,0,0,진도군,866550.0,1583750.0
나다665899,1,0,0,0,0,진도군,866550.0,1589950.0
나다666903,1,0,0,0,0,진도군,866650.0,1590350.0
나다667911,2,0,0,0,0,진도군,866750.0,1591150.0
나다667912,5,2,1,4,1,진도군,866750.0,1591250.0
나다675909,1,0,0,0,0,진도군,867550.0,1590950.0
나다680895,1,0,0,0,0,진도군,868050.0,1589550.0
나다691888,1,0,0,0,0,진도군,869150.0,1588850.0
나다693892,1,0,0,0,0,진도군,869350.0,1589250.0
나다694885,1,0,0,1,0,진도군,869450.0,1588550.0
나다694889,2,1,0,0,0,진도군,869450.0,1588950.0
나다743975,1,1,0,0,0,진도군,874350.0,1597550.0
나다744975,2,4,0,0,0,진도군,874450.0,1597550.0
나다745979,1,0,1,0,0,진도군,874550.0,1597950.0
나다745987,3,2,1,0,0,진도군,874550.0,1598750.0
나다746975,1,0,1,0,0,진도군,874650.0,1597550.0
나다746976,1,1,0,0,0,진도군,874650.0,1597650.0
나다746978,2,3,1,0,0,진도군,874650.0,1597850.0
나다747977,1,0,0,0,0,진도군,874750.0,1597750.0
나다747978,7,1,0,0,0,진도군,874750.0,1597850.0
나다747979,1,1,0,0,0,진도군,874750.0,1597950.0
나다748978,2,2,0,0,0,진도군,874850.0,1597850.0
나다748982,1,0,0,0,0,진도군,874850.0,1598250.0
나다752987,1,0,0,0,0,진도군,875250.0,1598750.0
나다752989,2,0,0,0,0,진도군,875250.0,1598950.0
나다753988,1,0,0,0,0,진도군,875350.0,1598850.0
나다764977,1,0,0,0,0,진도군,876450.0,1597750.0
나다769977,1,0,0,0,0,진도군,876950.0,1597750.0
나다769978,1,0,0,0,0,진도군,876950.0,1597850.0
나다770976,1,0,0,0,0,진도군,877050.0,1597650.0
나다770978,2,0,0,0,0,진도군,877050.0,1597850.0
나다771975,1,2,0,0,0,진도군,877150.0,1597550.0
나다771976,2,1,0,0,0,진도군,877150.0,1597650.0
나다771978,2,0,0,0,0,진도군,877150.0,1597850.0
나다773995,1,0,0,0,0,진도군,877350.0,1599550.0
나다777994,1,0,0,0,0,진도군,877750.0,1599450.0
나다787970,1,0,0,0,0,진도군,878750.0,1597050.0
나다789970,1,0,0,0,0,진도군,878950.0,1597050.0
나다789972,1,0,0,0,0,진도군,878950.0,1597250.0
나다792967,1,0,0,0,0,진도군,879250.0,1596750.0
나다794977,1,0,0,0,0,진도군,879450.0,1597750.0
나다798999,1,0,0,0,0,진도군,879850.0,1599950.0
나다805982,2,0,0,0,0,진도군,880550.0,1598250.0
나다807999,1,0,0,0,0,진도군,880750.0,1599950.0
나다809982,1,0,0,0,0,,880950.0,1598250.0
나다825994,1,0,0,0,0,진도군,882550.0,1599450.0
나다830986,1,0,0,0,0,진도군,883050.0,1598650.0
나다836980,1,0,0,0,0,진도군,883650.0,1598050.0
나다841997,1,0,0,0,0,진도군,884150.0,1599750.0
나다843998,1,0,0,1,0,진도군,884350.0,1599850.0
나다844989,1,0,0,0,0,,884450.0,1598950.0
나다861997,1,0,0,0,0,진도군,886150.0,1599750.0
나다893995,2,0,0,0,0,진도군,889350.0,1599550.0
나다901990,1,0,0,0,0,진도군,890150.0,1599050.0
나다901991,2,1,0,0,0,진도군,890150.0,1599150.0
나다901993,1,0,0,0,0,진도군,890150.0,1599350.0
나다902992,1,0,0,0,0,진도군,890250.0,1599250.0
나다902993,2,1,0,0,0,진도군,890250.0,1599350.0
나라056335,1,1,0,0,0,신안군,805650.0,1633550.0
나라070306,1,0,0,0,0,신안군,807050.0,1630650.0
나라071307,1,0,0,0,0,신안군,807150.0,1630750.0
나라072307,1,0,0,0,0,신안군,807250.0,1630750.0
나라073307,2,0,0,0,0,신안군,807350.0,1630750.0
