grid_id,cnt_store,cnt_112,cnt_5crime,cnt_cctv,cnt_patrol,sigungu,x_center,y_center,hotspot,z_112,z_5crime,z_cctv,z_patrol,need_score,rank_in_sigungu
다라334275,36,15,9,2,0,강진군,933450.0,1627550.0,True,0.9478247207640287,5.139069748387142,0.9091548272984092,-0.4343722427630695,5.849503176883501,1
다라328273,23,21,4,0,0,강진군,932850.0,1627350.0,True,1.6942366883657014,1.9079181101796574,-0.7510409442899902,-0.4343722427630695,4.194861392071888,2
다라329273,26,41,0,0,0,강진군,932950.0,1627350.0,True,4.182276580371277,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,4.097979973511477,3
다라330275,43,15,4,1,0,강진군,933050.0,1627550.0,True,0.9478247207640287,1.9079181101796574,0.07905694150420949,-0.4343722427630695,3.0334004815731164,4
다라330273,38,28,1,1,0,강진군,933050.0,1627350.0,True,2.565050650567653,-0.030772872744833216,0.07905694150420949,-0.4343722427630695,2.71193542845225,5
다라333275,15,15,3,1,0,강진군,933350.0,1627550.0,True,0.9478247207640287,1.2616877825381605,0.07905694150420949,-0.4343722427630695,2.3871701539316197,6
다라373358,17,6,4,0,0,강진군,937350.0,1635850.0,True,-0.17179323063848026,1.9079181101796574,-0.7510409442899902,-0.4343722427630695,2.3288314730677073,7
다라329274,40,24,3,4,0,강진군,932950.0,1627450.0,True,2.0674426721665378,1.2616877825381605,2.5693505988868086,-0.4343722427630695,2.2616412766428287,8
다라333273,14,6,3,0,0,강진군,933350.0,1627350.0,True,-0.17179323063848026,1.2616877825381605,-0.7510409442899902,-0.4343722427630695,1.6826011454262102,9
다라328274,19,21,2,3,0,강진군,932850.0,1627450.0,True,1.6942366883657014,0.6154574548966636,1.739252713092609,-0.4343722427630695,1.6572539080975952,10
다라329275,23,10,2,0,0,강진군,932950.0,1627550.0,True,0.3258147477626348,0.6154574548966636,-0.7510409442899902,-0.4343722427630695,1.5339787961858282,11
다라332276,21,19,2,3,0,강진군,933250.0,1627650.0,True,1.4454326991651438,0.6154574548966636,1.739252713092609,-0.4343722427630695,1.4084499188970376,12
다라330274,26,16,1,1,0,강진군,933050.0,1627450.0,True,1.0722267153643075,-0.030772872744833216,0.07905694150420949,-0.4343722427630695,1.2191114932489042,13
다라333274,23,12,1,0,0,강진군,933350.0,1627450.0,True,0.5746187369631923,-0.030772872744833216,-0.7510409442899902,-0.4343722427630695,1.1365524577448889,14
다라327276,14,16,2,3,0,강진군,932750.0,1627650.0,True,1.0722267153643075,0.6154574548966636,1.739252713092609,-0.4343722427630695,1.0352439350962013,15
다라331275,45,16,0,0,0,강진군,933150.0,1627550.0,True,1.0722267153643075,-0.67700320038633,-0.7510409442899902,-0.4343722427630695,0.9879301085045074,16
다라331273,14,10,1,0,0,강진군,933150.0,1627350.0,True,0.3258147477626348,-0.030772872744833216,-0.7510409442899902,-0.4343722427630695,0.8877484685443315,17
다라334273,10,6,3,2,0,강진군,933450.0,1627350.0,True,-0.17179323063848026,1.2616877825381605,0.9091548272984092,-0.4343722427630695,0.8525032596320103,18
다라342278,10,4,2,0,0,강진군,934250.0,1627850.0,True,-0.4205972198390378,0.6154574548966636,-0.7510409442899902,-0.4343722427630695,0.7875668285841557,19
다라330272,25,10,2,2,0,강진군,933050.0,1627250.0,True,0.3258147477626348,0.6154574548966636,0.9091548272984092,-0.4343722427630695,0.7038809103916285,20
다라332274,21,8,2,2,0,강진군,933250.0,1627450.0,True,0.07701075856207729,0.6154574548966636,0.9091548272984092,-0.4343722427630695,0.455076921191071,21
다라331276,27,8,1,1,0,강진군,933150.0,1627650.0,True,0.07701075856207729,-0.030772872744833216,0.07905694150420949,-0.4343722427630695,0.2238955364466741,22
다라333276,11,3,1,0,0,강진군,933350.0,1627650.0,True,-0.5449992144393165,-0.030772872744833216,-0.7510409442899902,-0.4343722427630695,0.01693450634238014,23
다라331274,43,19,1,5,0,강진군,933150.0,1627450.0,True,1.4454326991651438,-0.030772872744833216,3.399448484681008,-0.4343722427630695,-0.06787829453865862,24
다라373065,17,13,1,0,1,강진군,937350.0,1606550.0,True,0.6990207315634711,-0.030772872744833216,-0.7510409442899902,2.3021728866442683,-0.1073181123585012,25
